id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,NightPopulation,DayPopulation,geometry,OccupancyClass,DesignLevel,HeightClass
35956,37.66563200000001,-122.110986,1592.0,1,1957,411775.71599999996,274517.144,M,RM1,RES1,3,1,POINT (-122.110986 37.66563200000001),RES1,Moderate-Code,Low-Rise
35957,37.664597000000015,-122.108536,435.0,3,1965,288342.5686,192228.379,M,RM1,RES1,5,3,POINT (-122.108536 37.664597000000015),RES1,Moderate-Code,Low-Rise
35958,37.664837000000006,-122.10858900000001,435.0,3,1965,288342.5686,192228.379,M,RM1,RES1,5,3,POINT (-122.10858900000001 37.664837000000006),RES1,Moderate-Code,Low-Rise
35959,37.654721,-122.03378000000001,1406.5,2,1980,624896.037,416597.358,M,RM1,RES1,2,1,POINT (-122.03378000000001 37.654721),RES1,High-Code,Low-Rise
35960,37.654932999999986,-122.03374300000002,1325.0,2,1980,606507.885,404338.59,M,RM1,RES1,4,3,POINT (-122.03374300000002 37.654932999999986),RES1,High-Code,Low-Rise
35961,37.647471,-122.03376,1030.0,2,1980,525822.8759999999,350548.584,W,W1,RES1,4,2,POINT (-122.03376 37.647471),RES1,High-Code,
35962,37.650085,-122.034423,1808.0,1,1980,485300.18799999997,323533.459,M,RM1,RES1,2,1,POINT (-122.034423 37.650085),RES1,High-Code,Low-Rise
35963,37.653983999999994,-122.03490200000002,1147.0,2,1983,560669.844,373779.896,W,W1,RES1,2,1,POINT (-122.03490200000002 37.653983999999994),RES1,High-Code,
35964,37.65426600000001,-122.036357,2650.0,1,1983,607531.527,405021.018,W,W1,RES1,3,2,POINT (-122.036357 37.65426600000001),RES1,High-Code,
35965,37.654337999999996,-122.037215,2117.0,1,1983,533822.128,355881.419,W,W1,RES1,2,1,POINT (-122.037215 37.654337999999996),RES1,High-Code,
35966,37.654948,-122.03506499999999,1771.0,1,1983,478515.58199999994,319010.388,M,RM1,RES1,1,0,POINT (-122.03506499999999 37.654948),RES1,High-Code,Low-Rise
35967,37.660149,-122.03589,1687.0,1,1971,428501.839,285667.893,M,RM1,RES1,3,2,POINT (-122.03589 37.660149),RES1,Moderate-Code,Low-Rise
35968,37.66083199999999,-122.037946,1995.0,1,1971,478252.108,318834.739,M,RM1,RES1,2,1,POINT (-122.037946 37.66083199999999),RES1,Moderate-Code,Low-Rise
35969,37.66094699999999,-122.03570799999999,2658.0,1,1971,770254.525,513503.017,W,W1,RES1,3,2,POINT (-122.03570799999999 37.66094699999999),RES1,Moderate-Code,
35970,37.66155199999999,-122.035274,2677.0,1,1971,569845.813,379897.209,M,RM1,RES1,2,1,POINT (-122.035274 37.66155199999999),RES1,Moderate-Code,Low-Rise
35971,37.66144599999999,-122.03632900000001,2383.0,1,1971,531932.362,354621.575,W,W1,RES1,2,1,POINT (-122.03632900000001 37.66144599999999),RES1,Moderate-Code,
35972,37.662275,-122.036652,2219.0,1,1971,510787.426,340524.951,W,W1,RES1,3,1,POINT (-122.036652 37.662275),RES1,Moderate-Code,
35973,37.648211,-122.036162,2248.0,1,1980,552066.925,368044.617,M,RM1,RES1,2,1,POINT (-122.036162 37.648211),RES1,High-Code,Low-Rise
35974,37.64831699999999,-122.038045,922.5,2,1980,476074.648,317383.099,W,W1,RES1,3,2,POINT (-122.038045 37.64831699999999),RES1,High-Code,
35975,37.648343,-122.036355,2248.0,1,1980,552066.925,368044.617,M,RM1,RES1,1,0,POINT (-122.036355 37.648343),RES1,High-Code,Low-Rise
35976,37.648492999999995,-122.038406,913.0,2,1980,471171.982,314114.655,M,RM1,RES1,2,1,POINT (-122.038406 37.648492999999995),RES1,High-Code,Low-Rise
35977,37.64854100000001,-122.038509,922.5,2,1980,476074.648,317383.099,M,RM1,RES1,2,1,POINT (-122.038509 37.64854100000001),RES1,High-Code,Low-Rise
35978,37.648667999999994,-122.036945,2133.0,1,1980,536142.8999999999,357428.6,W,W1,RES1,2,1,POINT (-122.036945 37.648667999999994),RES1,High-Code,
35979,37.64896299999999,-122.038285,1084.0,2,1980,542536.872,361691.248,M,RM1,RES1,2,1,POINT (-122.038285 37.64896299999999),RES1,High-Code,Low-Rise
35980,37.64932399999999,-122.03821,1030.0,2,1980,525822.8759999999,350548.584,M,RM1,RES1,2,1,POINT (-122.03821 37.64932399999999),RES1,High-Code,Low-Rise
35981,37.649665999999996,-122.03654800000001,1103.0,2,1983,548160.5530000001,365440.369,W,W1,RES1,2,1,POINT (-122.03654800000001 37.649665999999996),RES1,High-Code,
35982,37.64970499999999,-122.038075,904.0,2,1983,466527.351,311018.234,W,W1,RES1,2,1,POINT (-122.038075 37.64970499999999),RES1,High-Code,
35983,37.650024,-122.035895,1066.5,2,1983,537238.7320000001,358159.155,M,RM1,RES1,2,1,POINT (-122.035895 37.650024),RES1,High-Code,Low-Rise
35984,37.65237100000002,-122.035358,2650.0,1,1983,607531.527,405021.018,M,RM1,RES1,2,1,POINT (-122.035358 37.65237100000002),RES1,High-Code,Low-Rise
35985,37.652612999999995,-122.037393,1325.0,2,1983,606507.885,404338.59,W,W1,RES1,2,1,POINT (-122.037393 37.652612999999995),RES1,High-Code,
