id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,NightPopulation,DayPopulation,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
32567,37.62920907650421,-122.10364347387691,1128.0,1.0,1956.0,443044.0,295362.667,W1,W,RES1,1.0,4.0,3.0,60014371013011,6001437101,35922,POINT (-122.10364347387691 37.62920907650421),RES1,Moderate-Code,
32568,37.62927283573048,-122.10348880872652,1128.0,1.0,1956.0,238079.50530000002,158719.67,W1,W,RES1,1.0,4.0,3.0,60014371013011,6001437101,35923,POINT (-122.10348880872652 37.62927283573048),RES1,Moderate-Code,
32569,37.665053327840596,-122.11092658995003,1280.0,1.0,1957.0,255921.3152,170614.21,W1,W,RES1,1.0,3.0,1.0,60014369004001,6001436900,35924,POINT (-122.11092658995003 37.665053327840596),RES1,Moderate-Code,
32570,37.65097927393987,-122.11765790056751,2943.0,1.0,1979.0,1471606.326,981070.884,W1,W,RES3A,2.0,0.0,0.0,60014372001031,6001437200,35925,POINT (-122.11765790056751 37.65097927393987),RES3,High-Code,
32571,37.630205261321706,-122.06285801326143,1044.0,1.0,1978.0,227125.2228,151416.815,W1,W,RES1,1.0,3.0,1.0,60014382032022,6001438203,35926,POINT (-122.06285801326143 37.630205261321706),RES1,High-Code,
32572,37.652300278506715,-122.09743802767443,2200.0,1.0,1955.0,508189.968,338793.312,W1,W,RES1,1.0,5.0,3.0,60014368002004,6001436800,35927,POINT (-122.09743802767443 37.652300278506715),RES1,Moderate-Code,
32573,37.65217027359942,-122.09736641667345,1246.0,1.0,1955.0,361517.721,241011.814,W1,W,RES1,1.0,3.0,1.0,60014368002004,6001436800,35928,POINT (-122.09736641667345 37.65217027359942),RES1,Moderate-Code,
32574,37.651303250275454,-122.07627415352565,1105.62,2.0,1959.0,790066.4979999999,526710.999,W1,W,RES3A,2.0,7.0,3.0,60014366013007,6001436601,35929,POINT (-122.07627415352565 37.651303250275454),RES3,Moderate-Code,
32575,37.65121616410894,-122.07619835953702,1244.5,2.0,1959.0,889308.946,592872.631,W1,W,RES3A,2.0,7.0,3.0,60014366013007,6001436601,35930,POINT (-122.07619835953702 37.65121616410894),RES3,Moderate-Code,
32576,37.65104960065918,-122.07617637260087,1256.37,2.0,1959.0,1488501.8930000002,992334.5959999999,W1,W,RES3B,3.0,15.0,8.0,60014366013007,6001436601,35931,POINT (-122.07617637260087 37.65104960065918),RES3,Moderate-Code,
32577,37.63287672379169,-122.09833571097546,1215.0,1.0,1957.0,356597.085,237731.39,W1,W,RES1,1.0,2.0,1.0,60014371023009,6001437102,35932,POINT (-122.09833571097546 37.63287672379169),RES1,Moderate-Code,
32578,37.66868338560262,-122.0939184449902,748.63,1.0,2011.0,267482.2639,178321.509,W1,W,RES3A,2.0,16.0,8.0,60014363004000,6001436300,35933,POINT (-122.0939184449902 37.66868338560262),RES3,High-Code,
32579,37.668545997630346,-122.09367421335625,1231.0,1.0,2011.0,435185.37599999993,290123.584,W1,W,RES3A,2.0,16.0,8.0,60014363004000,6001436300,35935,POINT (-122.09367421335625 37.668545997630346),RES3,High-Code,
32580,37.64506574460093,-122.07880072135625,1130.0,1.0,1963.0,238327.03380000003,158884.689,W1,W,RES1,1.0,4.0,2.0,60014375002009,6001437500,35936,POINT (-122.07880072135625 37.64506574460093),RES1,Moderate-Code,
32581,37.63108912777283,-122.07885484730384,1325.0,1.0,1977.0,260772.7995,173848.533,W1,W,RES1,1.0,3.0,1.0,60014382012000,6001438201,35937,POINT (-122.07885484730384 37.63108912777283),RES1,High-Code,
32582,37.66328582658504,-122.05676811962215,629.0,1.0,1988.0,251221.3847,167480.923,W1,W,RES1,1.0,2.0,1.0,60014351021003,6001435102,35938,POINT (-122.05676811962215 37.66328582658504),RES1,High-Code,
32583,37.63544165715918,-122.09749558879655,1215.0,1.0,1957.0,356597.085,237731.39,W1,W,RES1,1.0,4.0,1.0,60014373003002,6001437300,35939,POINT (-122.09749558879655 37.63544165715918),RES1,Moderate-Code,
32584,37.65456521895613,-122.08019290647212,1416.0,1.0,1965.0,385506.202,257004.135,W1,W,RES1,1.0,4.0,3.0,60014366012014,6001436601,35940,POINT (-122.08019290647212 37.65456521895613),RES1,Moderate-Code,
32585,37.658983232518864,-122.08301046439573,1050.0,1.0,1955.0,330559.11,220372.74,W1,W,RES1,1.0,4.0,2.0,60014366011004,6001436601,35941,POINT (-122.08301046439573 37.658983232518864),RES1,Moderate-Code,
32586,37.65895221100695,-122.08284945915376,1093.0,1.0,1955.0,233647.71490000002,155765.143,W1,W,RES1,1.0,3.0,1.0,60014366011004,6001436601,35942,POINT (-122.08284945915376 37.65895221100695),RES1,Moderate-Code,
32587,37.63301541527606,-122.09839124735791,1614.0,1.0,1957.0,415421.1479999999,276947.432,W1,W,RES1,1.0,4.0,3.0,60014371023009,6001437102,35943,POINT (-122.09839124735791 37.63301541527606),RES1,Moderate-Code,
32588,37.61455771429253,-122.09349919101109,972.5,2.0,2004.0,539519.013,359679.342,W1,W,RES1,1.0,0.0,0.0,60014371011096,6001437101,35944,POINT (-122.09349919101109 37.61455771429253),RES1,High-Code,
32589,37.62845870910755,-122.06243070682474,1255.5,2.0,1978.0,438640.071,292426.714,W1,W,RES1,1.0,2.0,1.0,60014382032023,6001438203,35945,POINT (-122.06243070682474 37.62845870910755),RES1,High-Code,
32590,37.65425641014092,-122.0128551516728,2217.0,2.0,1980.0,850336.696,566891.131,W1,W,RES1,1.0,2.0,2.0,60014351031030,6001435103,35946,POINT (-122.0128551516728 37.65425641014092),RES1,High-Code,
32591,37.62736390811916,-122.06055371179505,1782.0,1.0,1978.0,317384.86,211589.907,W1,W,RES1,1.0,3.0,2.0,60014382041009,6001438204,35947,POINT (-122.06055371179505 37.62736390811916),RES1,High-Code,
32592,37.627254834447655,-122.06040955037948,978.0,1.0,1978.0,218418.3482,145612.232,W1,W,RES1,1.0,2.0,0.0,60014382041009,6001438204,35948,POINT (-122.06040955037948 37.627254834447655),RES1,High-Code,
32593,37.66488017286234,-122.04766744083672,4030.0,1.0,1971.0,734766.3640000001,489844.243,W1,W,RES1,1.0,2.0,1.0,60014364022000,6001436402,35949,POINT (-122.04766744083672 37.66488017286234),RES1,Moderate-Code,
32594,37.63714343105101,-122.07114256222708,2076.75,1.0,1973.0,566539.7490000001,377693.166,W1,W,RES3A,2.0,7.0,3.0,60014377022000,6001437702,35950,POINT (-122.07114256222708 37.63714343105101),RES3,Moderate-Code,
32595,37.64699335448839,-122.10938042140022,1759.0,1.0,1961.0,476251.672,317501.115,W1,W,RES1,1.0,3.0,1.0,60014372002001,6001437200,35951,POINT (-122.10938042140022 37.64699335448839),RES1,Moderate-Code,
