id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
28,37.642989242802884,-122.09751740211408,1290.0,1.0,1958.0,330033.6,220022.4,W1,W,RES1,1.0,60014370001008.0,6001437000.0,4693.0,POINT (-122.09751740211408 37.642989242802884),RES1,Moderate-Code,
29,37.64602301351578,-122.12084987170608,19750.0,1.0,1966.0,4013298.75,2675532.5,RM1,M,COM2,7.0,60014371014028.0,6001437101.0,25740.0,POINT (-122.12084987170608 37.64602301351578),COM2,Moderate-Code,Low-Rise
30,37.6538136888243,-122.07902414781542,990.0,1.0,1951.0,253281.59999999998,168854.4,W1,W,RES1,1.0,60014366012013.0,6001436601.0,30759.0,POINT (-122.07902414781542 37.6538136888243),RES1,Moderate-Code,
31,37.66903702921934,-122.07400666589892,1372.9860934290034,2.0,1986.0,487272.7645579533,324848.5097053022,W1,W,RES3B,4.0,60014364032000.0,6001436403.0,5175.0,POINT (-122.07400666589892 37.66903702921934),RES3,High-Code,
32,37.63290419133297,-122.04473013879121,4333.0,3.0,1989.0,4537105.965,3024737.31,W1,W,RES3D,16.0,60014351041021.0,6001435104.0,10911.0,POINT (-122.04473013879121 37.63290419133297),RES3,High-Code,
33,37.6279586784786,-122.07433927703983,1600.0,1.0,1963.0,409344.0,272896.0,W1,W,RES1,1.0,60014382013008.0,6001438201.0,8097.0,POINT (-122.07433927703983 37.6279586784786),RES1,Moderate-Code,
34,37.63909073138718,-122.09035992597686,1268.6387040202703,1.0,1958.0,324568.526036546,216379.0173576973,W1,W,RES1,1.0,60014373001001.0,6001437300.0,25745.0,POINT (-122.09035992597686 37.63909073138718),RES1,Moderate-Code,
35,37.64249008191981,-122.11512068309338,766.0,2.0,1992.0,391946.88,261297.92,W1,W,RES1,1.0,60014372004000.0,6001437200.0,9268.0,POINT (-122.11512068309338 37.64249008191981),RES1,High-Code,
36,37.64702204970575,-122.00680785724892,2058.5,2.0,2016.0,1053293.28,702195.52,W1,W,RES1,1.0,60014351034010.0,6001435103.0,35537.0,POINT (-122.00680785724892 37.64702204970575),RES1,High-Code,
37,37.6167984470762,-122.03873095044135,1252.0,1.0,1987.0,320311.68,213541.12,W1,W,RES1,1.0,60014381003007.0,6001438100.0,36095.0,POINT (-122.03873095044135 37.6167984470762),RES1,High-Code,
38,37.64695880131902,-122.08084976365315,839.0,2.0,2021.0,429299.52,286199.68,W1,W,RES1,1.0,60014375002008.0,6001437500.0,100089.0,POINT (-122.08084976365315 37.64695880131902),RES1,High-Code,
39,37.66253194938839,-122.08693957200599,1476.0,1.0,1952.0,377619.83999999997,251746.56,W1,W,RES1,1.0,60014363023008.0,6001436302.0,27036.0,POINT (-122.08693957200599 37.66253194938839),RES1,Moderate-Code,
40,37.65634221536029,-122.0215504674386,1826.5,2.0,1994.0,934583.52,623055.68,W1,W,RES1,1.0,60014351021000.0,6001435102.0,14944.0,POINT (-122.0215504674386 37.65634221536029),RES1,High-Code,
41,37.619811344639814,-122.04544285440363,1158.0,1.0,1956.0,296262.72000000003,197508.48,W1,W,RES1,1.0,60014381002007.0,6001438100.0,24677.0,POINT (-122.04544285440363 37.619811344639814),RES1,Moderate-Code,
