id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,DayPopulation,geometry,DesignLevel,HeightClass,DS,DV
120,37.65491272483289,-122.016661392421,2478.5,2.0,1993,2077839.26,1385226.17,W,W1,RES1,RES1,4,2,POINT Z (-122.016661392421 37.65491272483289 0),High-Code,,1,0.09748000000000001
121,37.65742109058668,-122.01698202696667,2157.5,2.0,1993,1885597.56,1257065.04,W,W1,RES1,RES1,2,1,POINT Z (-122.01698202696667 37.65742109058668 0),High-Code,,1,0.09936
122,37.65117110616213,-122.00602187347452,1488.0,2.0,1993,1440950.58,960633.72,W,W1,RES1,RES1,3,2,POINT Z (-122.00602187347452 37.65117110616213 0),High-Code,,1,0.08773999999999998
123,37.65732799213337,-122.01467221326544,1899.5,2.0,1993,1717364.77,1144909.85,W,W1,RES1,RES1,3,1,POINT Z (-122.01467221326543 37.65732799213337 0),High-Code,,1,0.07496
124,37.64944348673807,-122.0046282606184,1028.0,2.0,1993,1109137.12,739424.75,W,W1,RES1,RES1,2,0,POINT Z (-122.00462826061839 37.64944348673807 0),High-Code,,1,0.08028
125,37.64944068571551,-122.00683252275064,1773.5,2.0,1993,1631595.27,1087730.18,W,W1,RES1,RES1,2,1,POINT Z (-122.00683252275064 37.64944068571551 0),High-Code,,1,0.07908
126,37.649326897803455,-122.00622576188456,1773.5,2.0,1993,1631595.27,1087730.18,W,W1,RES1,RES1,2,0,POINT Z (-122.00622576188455 37.649326897803455 0),High-Code,,1,0.07534
127,37.64862330427828,-122.0039443552825,1147.0,2.0,1993,1203959.75,802639.83,W,W1,RES1,RES1,2,0,POINT Z (-122.0039443552825 37.64862330427828 0),High-Code,,1,0.09494
128,37.65286778267529,-122.00875548306088,1610.0,2.0,1993,1514336.67,1009557.78,W,W1,RES1,RES1,2,1,POINT Z (-122.00875548306087 37.65286778267529 0),High-Code,,1,0.07668000000000001
129,37.65701142020755,-122.01592902679408,1731.0,2.0,1993,1601763.0,1067842.0,W,W1,RES1,RES1,2,0,POINT Z (-122.01592902679407 37.65701142020755 0),High-Code,,1,0.08719999999999999
130,37.65003601107633,-122.00586254375104,1482.5,2.0,1993,1437556.59,958371.06,W,W1,RES1,RES1,2,0,POINT Z (-122.00586254375105 37.65003601107633 0),High-Code,,1,0.08854
131,37.65267965013469,-122.01125214454116,1968.5,2.0,1993,1762638.88,1175092.59,W,W1,RES1,RES1,2,0,POINT Z (-122.01125214454116 37.65267965013469 0),High-Code,,1,0.10030000000000001
132,37.649878546601656,-122.0065124039729,1482.5,2.0,1993,1437556.59,958371.06,W,W1,RES1,RES1,2,0,POINT Z (-122.0065124039729 37.649878546601656 0),High-Code,,1,0.08321999999999999
133,37.65337495426164,-122.00931819128026,2071.0,2.0,1993,1829881.85,1219921.23,W,W1,RES1,RES1,3,1,POINT Z (-122.00931819128026 37.65337495426164 0),High-Code,,1,0.09254000000000001
