id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
36,37.64716654456787,-122.00784904286526,2337.0,2.0,2017.0,1195796.1600000001,797197.4400000001,W1,W,RES1,1.0,60014351034010.0,6001435103.0,35542.0,POINT (-122.00784904286526 37.64716654456787),RES1,High-Code,
37,37.646410041754045,-122.0815762553572,2014.50686924921,2.0,2022.0,714948.4878965446,476632.3252643631,W1,W,RES3B,4.0,60014375001001.0,6001437500.0,36100.0,POINT (-122.0815762553572 37.646410041754045),RES3,High-Code,
38,37.64682703937553,-122.08193052407653,982.0,2.0,2022.0,502469.76,334979.84,W1,W,RES1,1.0,60014375001001.0,6001437500.0,100094.0,POINT (-122.08193052407653 37.64682703937553),RES1,High-Code,
39,37.62016760816838,-122.03963568576772,1926.0,1.0,1956.0,492747.83999999997,328498.56,W1,W,RES1,1.0,60014381002013.0,6001438100.0,27044.0,POINT (-122.03963568576772 37.62016760816838),RES1,Moderate-Code,
40,37.62876068391464,-122.08358938041687,1119.0,1.0,1956.0,286284.96,190856.64,W1,W,RES1,1.0,60014383001003.0,6001438300.0,14950.0,POINT (-122.08358938041687 37.62876068391464),RES1,Moderate-Code,
41,37.65579865387054,-122.09966217316214,1456.0,1.0,1960.0,372503.04000000004,248335.36000000002,W1,W,RES1,1.0,60014368002002.0,6001436800.0,24682.0,POINT (-122.09966217316214 37.65579865387054),RES1,Moderate-Code,
42,37.668989539152776,-122.10538431324726,152950.0,1.0,1971.0,31080204.75,20720136.5,RM1,M,COM2,2.0,60014357004012.0,6001435700.0,21336.0,POINT (-122.10538431324726 37.668989539152776),COM2,Moderate-Code,Low-Rise
43,37.623415138656895,-122.07476289660507,18.697982676252554,1.0,1970.0,2073.232319142883,1382.1548794285889,MH,H,RES2,1.0,60014382012012.0,6001438201.0,23057.0,POINT (-122.07476289660507 37.623415138656895),RES2,Moderate-Code,
44,37.656693140437355,-122.06939782536243,1144.0,1.0,1950.0,292680.96,195120.64,W1,W,RES1,1.0,60014365002015.0,6001436500.0,20985.0,POINT (-122.06939782536243 37.656693140437355),RES1,Moderate-Code,
45,37.638562684839265,-122.10756665355375,1244.0,1.0,1961.0,318264.96,212176.64,W1,W,RES1,1.0,60014372003002.0,6001437200.0,3273.0,POINT (-122.10756665355375 37.638562684839265),RES1,Moderate-Code,
46,37.666659729116844,-122.0849990440867,7309.033623420876,1.5,2004.0,4114456.025048255,2742970.6833655033,W1,W,RES3C,9.0,60014363022005.0,6001436302.0,8612.0,POINT (-122.0849990440867 37.666659729116844),RES3,High-Code,
47,37.64460791534075,-122.0792199642291,1165.0,1.0,1954.0,298053.6,198702.4,W1,W,RES1,1.0,60014375002008.0,6001437500.0,37320.0,POINT (-122.0792199642291 37.64460791534075),RES1,Moderate-Code,
48,37.67494836698594,-122.08108133156902,101200.69897261079,1.0,1952.0,20282138.084595792,13521425.389730528,RM1,M,COM1,27.0,60014354001013.0,6001435400.0,5496.0,POINT (-122.08108133156902 37.67494836698594),COM1,Moderate-Code,Low-Rise
49,37.643288242940585,-122.11221855510878,1200.0,1.5,1996.0,460512.0,307008.0,W1,W,RES1,1.0,60014372002003.0,6001437200.0,36622.0,POINT (-122.11221855510878 37.643288242940585),RES1,High-Code,
