id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
27,37.6209934384101,-122.09293742643399,1958.861494513249,1.0,1977.0,501155.1247562696,334103.41650417977,W1,W,RES1,RES1,1.0,60014371012008.0,6001437101.0,31371.0,POINT (-122.09293742643399 37.6209934384101),High-Code,
28,37.62064343402934,-122.06376001548091,2424.43126919,1.0,1978.0,268820.93912778725,179213.9594185248,MH,H,RES2,RES2,1.0,60014382043019.0,6001438204.0,7541.0,POINT (-122.06376001548091 37.62064343402934),High-Code,
29,37.648025250330676,-122.11386478875657,2577.55647776,1.5,1980.0,659442.0492701184,439628.03284674557,W1,W,RES1,RES1,1.0,60014372005005.0,6001437200.0,15478.0,POINT (-122.11386478875657 37.648025250330676),High-Code,
30,37.66179838580995,-122.0764782233427,1613.7698143543562,1.0,1957.0,325747.50587649853,217165.0039176657,W1,W,RES1,RES3A,2.0,60014365001012.0,6001436500.0,14550.0,POINT (-122.0764782233427 37.66179838580995),Moderate-Code,
31,37.6419302678885,-122.0966449819187,2035.2951109518417,1.0,1958.0,520709.9011859192,347139.9341239461,W1,W,RES1,RES1,1.0,60014370001005.0,6001437000.0,6458.0,POINT (-122.0966449819187 37.6419302678885),Moderate-Code,
32,37.65108478829691,-122.03968356452455,1205.3333333333333,1.5,1980.0,462558.72,308372.48,W1,W,RES1,RES1,1.0,60014351023000.0,6001435102.0,5646.0,POINT (-122.03968356452455 37.65108478829691),High-Code,
33,37.6123181222496,-122.02818905630221,1346.0,1.0,1965.0,344360.64,229573.76,W1,W,RES1,RES1,1.0,60014381005002.0,6001438100.0,28911.0,POINT (-122.02818905630221 37.6123181222496),Moderate-Code,
34,37.619672452871114,-122.07734404859038,1232.0,1.0,1966.0,315194.88,210129.92,W1,W,RES1,RES1,1.0,60014384002000.0,6001438400.0,15955.0,POINT (-122.07734404859038 37.619672452871114),Moderate-Code,
35,37.64800480152045,-122.10305291992047,1351.76511222,1.0,1960.0,345835.5863103648,230557.0575402432,W1,,RES1,RES1,1.0,60014370003016.0,6001437000.0,38254.0,POINT (-122.10305291992047 37.64800480152045),Moderate-Code,
36,37.62871969947096,-122.07307906495458,1254.0,1.0,1957.0,320823.36,213882.24,W1,W,RES1,RES1,1.0,60014382013004.0,6001438201.0,23281.0,POINT (-122.07307906495458 37.62871969947096),Moderate-Code,
