ID,lon,lat,vs30,z1pt0,z2pt5,vsInferred
276,-122.037,37.6874,419.45195364019173,333.33331298828125,3410.0,1
277,-122.037,37.6907,404.50767898075355,333.33331298828125,3410.0,1
278,-122.037,37.6937,390.9219747449124,333.33331298828125,3410.0,1
279,-122.042,37.6003,277.91393920654826,209.01409912109375,874.2857666015625,1
280,-122.042,37.6033,291.83333920654735,209.01409912109375,874.2857666015625,1
281,-122.042,37.6067,307.6086592065419,190.41094970703125,872.5,1
282,-122.042,37.6097,321.528059206541,190.41094970703125,872.5,1
283,-122.042,37.6127,335.44745920654003,190.41094970703125,872.5,1
284,-122.042,37.6157,349.3668592065391,57.01149368286133,855.0,1
285,-122.042,37.6191,365.1421792065666,57.01149368286133,855.0,1
286,-122.042,37.6221,379.0615792065657,57.01149368286133,855.0,1
287,-122.042,37.6251,392.9809792065648,0.0,882.5,1
288,-122.042,37.6285,408.75629920655933,0.0,882.5,1
289,-122.042,37.6315,422.67569920655836,0.0,882.5,1
290,-122.042,37.6345,434.5752457138036,0.0,882.5,1
291,-122.042,37.6378,444.1732858343369,0.0,0.0,1
292,-122.042,37.6408,452.89877685301474,0.0,0.0,1
293,-122.042,37.6439,461.9151175723249,0.0,0.0,1
294,-122.042,37.6469,470.6406085910028,0.0,0.0,1
295,-122.042,37.6502,480.23864871153603,0.0,0.0,1
296,-122.042,37.6532,488.9641397302139,0.0,0.0,1
297,-122.042,37.6562,497.6896307488918,340.0,2444.126953125,1
298,-122.042,37.6596,507.5785205700573,340.0,2444.126953125,1
299,-122.042,37.6626,516.3040115887352,340.0,2444.126953125,1
300,-122.042,37.6656,525.029502607413,333.33331298828125,3313.33349609375,1
301,-122.042,37.669,517.5316154419411,333.33331298828125,3313.33349609375,1
302,-122.042,37.672,503.90267890629525,333.33331298828125,3313.33349609375,1
303,-122.042,37.675,490.27374237064936,333.33331298828125,3313.33349609375,1
304,-122.042,37.678,476.64480583500347,346.66668701171875,3320.0,1
305,-122.042,37.6813,461.6529756457802,346.66668701171875,3320.0,1
306,-122.042,37.6844,447.56974122563,346.66668701171875,3320.0,1
307,-122.042,37.6874,433.94080468998413,333.33331298828125,3410.0,1
308,-122.042,37.6907,418.94897450076087,333.33331298828125,3410.0,1
309,-122.042,37.6937,405.3200379651149,333.33331298828125,3410.0,1
310,-122.048,37.6003,265.82135865722745,228.05555725097656,855.0,1
311,-122.048,37.6033,276.35495865722595,228.05555725097656,855.0,1
312,-122.048,37.6067,288.29303865722085,287.4698791503906,855.0,1
313,-122.048,37.6097,298.8266386572193,287.4698791503906,855.0,1
314,-122.048,37.6127,309.3602386572177,287.4698791503906,855.0,1
315,-122.048,37.6157,319.8938386572162,151.71429443359375,857.5,1
316,-122.048,37.6191,331.831918657236,151.71429443359375,857.5,1
317,-122.048,37.6221,342.36551865723436,151.71429443359375,857.5,1
318,-122.048,37.6251,352.89911865723286,57.24137878417969,857.1428833007812,1
319,-122.048,37.6285,364.83719865722776,57.24137878417969,857.1428833007812,1
320,-122.048,37.6315,375.37079865722615,57.24137878417969,857.1428833007812,1
321,-122.048,37.6345,387.55041582337725,57.24137878417969,857.1428833007812,1
322,-122.048,37.6378,403.7932529504311,8.886419296264648,15.554567337036133,1
323,-122.048,37.6408,418.5594685204992,8.886419296264648,15.554567337036133,1
324,-122.048,37.6439,433.8178912762525,8.886419296264648,15.554567337036133,1
325,-122.048,37.6469,448.58410684632054,0.0,0.0,1
326,-122.048,37.6502,464.8269439733744,0.0,0.0,1
327,-122.048,37.6532,479.5931595434424,0.0,0.0,1
328,-122.048,37.6562,494.35937511351045,346.66668701171875,650.6103515625,1
329,-122.048,37.6596,511.0944194262496,346.66668701171875,650.6103515625,1
330,-122.048,37.6626,525.8606349963176,346.66668701171875,650.6103515625,1
331,-122.048,37.6656,540.6268505663857,340.0,3400.197998046875,1
332,-122.048,37.669,535.2364264282711,340.0,3400.197998046875,1
333,-122.048,37.672,521.5556111328597,340.0,3400.197998046875,1
334,-122.048,37.675,507.8747958374482,340.0,3400.197998046875,1
335,-122.048,37.678,494.1939805420366,346.66668701171875,3406.66650390625,1
